S. aureus  CFSAN082782,#3d85c6
S. aureus  CFSAN082781,#3d85c6
S. aureus  2588STDY5748674,#3d85c6
S. aureus  USFL241,#3d85c6
S. aureus W41765,#3d85c6
S. aureus  2588STDY5627610,#3d85c6
S. aureus  USFL328,#3d85c6
S. aureus  2588STDY5748139,#3d85c6
S. aureus H59325,#3d85c6
S. aureus  TW02,#3d85c6
S. aureus W65865,#3d85c6
S. aureus  USFL280,#3d85c6
S. aureus P210074-32,#3d85c6
Staphylococcus sp. HMSC060D12,#3d85c6
S. aureus  2588STDY5764014,#3d85c6
S. aureus  M3720,#3d85c6
S. aureus  H1533,#3d85c6
S. aureus  STV262L,#3d85c6
S. aureus T26751,#3d85c6
S. aureus  FL378,#3d85c6
S. aureus  USFL309,#3d85c6
S. aureus  USFL333,#3d85c6
S. aureus CGS01,#3d85c6
S. aureus  2588STDY5748123,#3d85c6
S. aureus  STV209L,#3d85c6
S. aureus  2588STDY5748114,#3d85c6
S. aureus  2588STDY5763876,#3d85c6
S. aureus  CFSA038,#3d85c6
S. aureus  CFSA220,#3d85c6
S. aureus  USFL144,#3d85c6
S. aureus  USFL147,#3d85c6
S. aureus  CFSA164,#3d85c6
S. aureus  USFL038,#3d85c6
S. aureus  M3992,#3d85c6
S. aureus  M3747,#3d85c6
S. aureus  H1384,#3d85c6
S. aureus  2588STDY5748656,#3d85c6
S. aureus P210372-43,#3d85c6
S. aureus UCIM6056,#3d85c6
S. aureus P210070-31,#3d85c6
S. aureus  sta1979,#3d85c6
S. aureus  sta2182,#3d85c6
S. aureus  USFL041,#3d85c6
S. aureus  2588STDY5748908,#3d85c6
S. aureus  2588STDY5748155,#3d85c6
S. aureus  2588STDY5748609,#3d85c6
S. aureus  2588STDY5748617,#3d85c6
S. aureus P210500-225,#3d85c6
S. aureus P210500-235,#3d85c6
S. aureus SCOA6012,#3d85c6
S. aureus SCOA6048,#3d85c6
S. aureus AMMC6011,#3d85c6
S. aureus F76239,#3d85c6
S. aureus T18865,#3d85c6
S. aureus  USFL242,#3d85c6
S. aureus  1625.CO1,#3d85c6
S. aureus  USFL033,#3d85c6
S. aureus  CFSA192,#3d85c6
S. aureus H22656,#3d85c6
S. aureus H75421,#3d85c6
S. aureus  sta3253,#3d85c6
S. aureus  TW08,#3d85c6
S. aureus  TW11,#3d85c6
S. aureus  AR_0226,#3d85c6
S. aureus CA105,#3d85c6
S. aureus  USFL284,#3d85c6
S. aureus  USFL283,#3d85c6
S. aureus  2588STDY5627590,#3d85c6
S. aureus  USFL317,#3d85c6
S. aureus  USFL188,#3d85c6
S. aureus  USFL197,#3d85c6
S. aureus  CFSA250,#3d85c6
S. aureus  CFSA103,#3d85c6
S. aureus  CFSA096,#3d85c6
S. aureus  CFSA035,#3d85c6
S. aureus  CFBR-487,#3d85c6
S. aureus  CFBR-487,#3d85c6
S. aureus USA300_TCH1516,#3d85c6
S. aureus  2588STDY5748178,#3d85c6
S. aureus  USFL086,#3d85c6
S. aureus  CFSA301,#3d85c6
S. aureus  FL367,#3d85c6
S. aureus  CFSA341,#3d85c6
S. aureus  USFL337,#3d85c6
